2,2022-01-08,1,45,
2,2022-01-08,2,60,
2,2022-01-08,3,37,
2,2022-01-09,1,45,
2,2022-01-09,2,60,
2,2022-01-09,3,37,
2,2022-01-10,1,30,
2,2022-01-10,2,40,
2,2022-01-10,3,25,
2,2022-01-11,1,45,
2,2022-01-11,2,60,
2,2022-01-11,3,36,
2,2022-01-12,1,60,
2,2022-01-12,2,420,
2,2022-01-12,3,30,
2,2022-02-01,1,30,
2,2022-02-01,2,40,
2,2022-02-01,3,25,
2,2022-02-02,1,45,
2,2022-02-02,2,30,
2,2022-02-02,3,37,
2,2022-02-03,1,470,
2,2022-02-03,2,40,
2,2022-02-03,3,25,
2,2022-02-04,1,60,
2,2022-02-04,2,80,
2,2022-02-04,3,50
